[0.0001, 1e-06, 'ResNet50', '4999', '0.03122299488768372', '0.13477257446039181'],
[0.0001, 1e-06, 'ResNet50', '3999', '0.007591552168563172', '0.1511736832561028'],
[0.0001, 1e-06, 'ResNet50', '2999', '0.0038149256037326674', '0.027979534000601058'],
[0.0001, 1e-06, 'ResNet50', '1999', '0.00988210628270604', '0.05373376190742848'],
[1e-05, 1e-06, 'ResNet50', '999', '0.0006173909255220074', '0.001152702583148488'],
[1e-05, 1e-06, 'ResNet50', '14999', '0.011379394722543285', '0.13851091829326045'],
[1e-05, 1e-06, 'ResNet50', '13999', '0.011775461280794923', '0.11159654210970493'],
[1e-05, 1e-06, 'ResNet50', '12999', '0.012740877796495784', '0.0898571844541699'],
[1e-05, 1e-06, 'ResNet50', '11999', '0.012860717923975057', '0.10398995152580384'],
[1e-05, 1e-06, 'ResNet50', '10999', '0.013748025571000175', '0.12459305830344976'],
[1e-05, 1e-06, 'ResNet50', '9999', '0.01435731564994533', '0.208848283678497'],
[1e-05, 1e-06, 'ResNet50', '8999', '0.014401695167959413', '0.14316034984656495'],
[1e-05, 1e-06, 'ResNet50', '7999', '0.013601457080674761', '0.13946929159881732'],
[1e-05, 1e-06, 'ResNet50', '6999', '0.015821363852411764', '0.19948881277410993'],
[1e-05, 1e-06, 'ResNet50', '5999', '0.01712070511632438', '0.21519565405687574'],
[1e-05, 1e-06, 'ResNet50', '4999', '0.01052680891113415', '0.10096814002565327'],
[1e-05, 1e-06, 'ResNet50', '3999', '0.002313937141837367', '0.01819897149628689'],
[1e-05, 1e-06, 'ResNet50', '2999', '0.0003547577594196112', '0.001497827659357353'],
[1e-05, 1e-06, 'ResNet50', '1999', '0.0003251926083298433', '0.000730729582004513'],
