[0.001, 7e-06, 'ResNet50', '999', '0.12425384759638498', '0.2647795662195343'],
[0.001, 7e-06, 'ResNet50', '14999', '0.6520160836256517', '0.5751732406146794'],
[0.001, 7e-06, 'ResNet50', '13999', '0.6133364720949814', '0.6013314195588453'],
[0.001, 7e-06, 'ResNet50', '12999', '0.626561076998945', '0.5946435492491442'],
[0.001, 7e-06, 'ResNet50', '11999', '0.6201959309711874', '0.5636036744063337'],
[0.001, 7e-06, 'ResNet50', '10999', '0.6265012319431437', '0.5771438223830442'],
[0.001, 7e-06, 'ResNet50', '9999', '0.5711236225735337', '0.5522713843120455'],
[0.01, 7e-06, 'ResNet50', '999', '0.01668513685819022', '0.07694313566690876'],
[0.001, 7e-06, 'ResNet50', '8999', '0.5512231279952376', '0.5218015123130628'],
[0.01, 7e-06, 'ResNet50', '14999', '0.7826296050946203', '0.5992873100544556'],
[0.001, 7e-06, 'ResNet50', '7999', '0.5404959729898329', '0.5388987127814948'],
[0.01, 7e-06, 'ResNet50', '13999', '0.7549121850121424', '0.612835915479247'],
[0.001, 7e-06, 'ResNet50', '6999', '0.5451933470196111', '0.5556030263126575'],
[0.01, 7e-06, 'ResNet50', '12999', '0.7476887387625554', '0.631078394591008'],
[0.01, 7e-06, 'ResNet50', '11999', '0.7555937511260387', '0.6517524716731989'],
[0.001, 7e-06, 'ResNet50', '5999', '0.5370770318111873', '0.5474907715059519'],
[0.01, 7e-06, 'ResNet50', '2999', '0.40449194016333834', '0.5919384730734796'],
[0.001, 7e-06, 'ResNet50', '4999', '0.4514823005474353', '0.5081424668028093'],
[0.01, 7e-06, 'ResNet50', '1999', '0.22673239122326794', '0.4162419632619615'],
[0.001, 7e-06, 'ResNet50', '3999', '0.4815789655717305', '0.5205281279548237'],
[0.001, 7e-06, 'ResNet50', '2999', '0.29481627213814016', '0.45745804430789094'],
[0.001, 7e-06, 'ResNet50', '1999', '0.3356739375854797', '0.43208714534556075'],
[0.02, 5e-06, 'ResNet50', '999', '0.17316805942214505', '0.26871001818607915'],
[0.02, 5e-06, 'ResNet50', '14999', '0.7059087745930266', '0.6311861287079015'],
[0.02, 5e-06, 'ResNet50', '13999', '0.6084491823077609', '0.6320830993181066'],
